Field;Title;Short Title;Description;Source
Bildung und Ernährung;"Bildung  für  nachhaltige  Entwicklung  fest  in schulischen und außerschulischen Bildungs-
einrichtungen etablieren";Bildung  für  nachhaltige  Entwicklung ;"Bildung für nachhaltige Entwicklung (BNE) bis 2030 fest in Bildungseinrichtun- gen zu etablieren, ist ein vom Rat der Stadt Münster beschlossenes Ziel der Stadt Münster. Schwerpunkte für das Jahr 2024 u. a. mit Schwerpunkt Klima und Ernährung sind:
- Weiterentwicklung des Münsteraner BNE-Netzwerkes (2 – 3 Vernetzungstref- fen; nächstes gemeinsames Bildungsprogramm für das Schuljahr 2023/2024 entwickeln, nächste gemeinsame BNE-Fachtagung im Herbst 2024; Entwick- lung eines Newsletters)
- Unterstützung von „Schule der Zukunft“: Anwerben weiterer Schulen; Durch- führung von 1 – 2 ganztägigen BNE-Modulen (für Lehrer*innen oder weitere Pädagog*innen)  und  1  –  2  Schüler*innenakademien  (schulübergreifend  für Schüler*innen);  Aufbau  des  Münsteraner  Schulnetzwerkes  „Schule  der  Zu- kunft“
- Umsetzung des Grundschulprojekts „YooLe – raus aus Schule“ mit derzeit 7 beteiligten Grundschulen und Weiterentwicklung und Ausdehnung des Ange- bots für das Schuljahr 2024/2025
- Umsetzung des vielfältigen Bildungsprogramms in Kooperation mit Haus Heit- horn
- Weiterführung des „Zukunftsdiploms“ als Kooperationsprojekt des BNE-Regi- onalzentrums mit der vhs Münster
- Weiterentwicklung des  Schulgartennetzwerkes mit beteiligten Schulen (ge- meinsame Obsternte auf der Streuobstwiese Haus Kump; Apfelversaftungsak- tion mit beteiligten Grundschulen; Austauschtreffen)
- Aktionstage zum Aufstellen und Erstbepflanzen von 12 neuen Hochbeeten an unterschiedlichen Schulen  (Kooperationsprojekt mit dem  Adolph-Kolping-Be- rufskolleg)
- Einführung einer regelmäßigen „BNE-Sprechstunde“ im Haus der Nachhaltig- keit
- Vergabe und Beratung zum städtischen Förderprogramm „Urbane Bürgergär- ten“";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bildung und Ernährung;Umstellung Kantinenessen;Umstellung Kantinenessen;"Ziele:
Mit der Vorlage V/0669/2019 hat der Rat der Stadt Münster folgendes Ziel be- schlossen: „Die Verpflegung in den städtischen Kantinen erfolgt zunehmend
aus biologischem Anbau, fair, regional und saisonal. Feste Bestandteile des Speiseplans sind vegetarische und vegane Angebote.“ Mit der Vorlage V/0731/2021 wurde das Maßnahmenprogramm Klimaneutrale Stadtverwaltung 2030 beschlossen. Darin heißt es konkret: „Städtische Veran- staltungen, die Mittagsverpflegung in den Kantinen und die Ratsarbeit erfolgen nachhaltig und klimaneutral.“
Bis 2022:
Die Verpflegung in den städtischen Kantinen ist zu 20 % auf faire, saisonale und regionale Bio-Lebensmittel umgestellt. 33 % der Gerichte sind vegetarisch. Bis 2030:
- Der Lebensmittelbedarf wird, sofern verfügbar, vollständig aus umweltscho- nenden, saisonal produzierten Bio-Lebensmitteln der Region gedeckt. Gilt auch für kommunale Einrichtungen und Betriebe (im Rahmen der zur Verfügung ste- henden Budgets).
Für  die  Zielerreichung  werden  verschiedene  Teilprojekte  erforderlich  sein. Zentraler Ansatz ist derzeit die Bewerbung der städtischen Kantine für das Kan- tinenprogramm NRW der Verbraucherzentrale NRW: Die Verbraucherzentrale NRW bietet fachliche Beratung, um Einrichtungen in öffentlicher Trägerschaft bei der Optimierung des Verpflegungsangebotes zu begleiten. Kantinen wer- den dabei unterstützt, das Verpflegungsangebot attraktiv und gesundheitsför- dernd auszurichten, Lebensmittelabfälle  zu reduzieren und das Bewusstsein für mehr Wertschätzung von Lebensmitteln zu stärken. Zudem erhalten sie Im-
pulse für die Beschaffung von regional erzeugten Lebensmitteln. Ob die städti- sche Kantine für das Programm ausgewählt wird, ist noch offen.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bildung und Ernährung;KlimaTraining skalieren;KlimaTraining skalieren;"Das KlimaTraining der Stadt Münster ist ein langfristiges Projekt. Es soll einen
„Schneeballeffekt“ zur Aktivierung und Qualifizierung der Münsteraner Bevöl- kerung hin zu klimafreundlichen Verhaltensweisen unterstützen und damit die Transformation der Stadtgesellschaft bis 2030 vorantreiben.
Das KlimaTraining findet aktuell zweimal jährlich in Kleingruppen mit circa fünf Teilnehmenden (Trainees) statt. Die jeweiligen Gruppen werden von ehrenamt- lichen KlimaTrainer*innen moderiert. Im KlimaTraining erarbeiten die Teilneh- menden  (Trainees)  individuelle  Klimaschutzmaßnahmen  und  erhalten  Gele- genheit, klimafreundliche Angebote auszuprobieren und zu testen. Hierzu wird
von Münsteraner Unternehmen und Organisationen ein Portfolio von circa 15 Angeboten  in  den  Bereichen Wohnen und  Energie,  Mobilität sowie  Konsum und Ernährung dauerhaft bereitgestellt. Die Aktualität der Angebote wird tur- nusmäßig geprüft und es werden eventuelle Anpassungen im Angebotsportfo- lio durchgeführt.
Der Ansatz des KlimaTrainings soll über eine zielgruppenspezifischere Ausge- staltung skaliert werden. KlimaTraining macht Schule: KlimaTraining wird als Projektkurs  an  der  Mathilde-Anneke-Gesamtschule  etabliert,  teilnehmende Schüler*innen werden zu KlimaTrainer*innen ausgebildet und begleiten Schü- ler*innen aus der Unterstufe oder in den Grundschulen.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bildung und Ernährung;Klimafreundliche Mittagsverpflegung in Schulen;Klimafreundliche Mittagsverpflegung in Schulen;"Sachstand: Die Anforderungen an die Qualität der Mittagsverpflegung in Schu- len steigen (Ratsanträge 2022/Bürgeranregung § 24 GO). Die Verwaltung hat deshalb bei den jüngsten Ausschreibungen den geforderten Anteil des Einsat- zes biozertifizierter Lebensmittel von 20 % auf 30 % erhöht. Gleichzeitig sinkt mit dem  eingeleiteten Wechsel der OGS-Trägerschaft von  der Stadt  zu den freien Trägern der Einfluss der Stadt auf die Ausgestaltung der Verpflegung an den  Grundschulen.  Im  Rahmen  der  Überarbeitung  der  OGS-Qualitätsstan- dards soll der Aspekt klimafreundliche Ernährung  weiterverfolgt werden. Für die Ausschreibungen der Mittagsverpflegung an den weiterführenden Schulen können klimafreundliche Aspekte im Rahmen der Leistungsverzeichnisse be- rücksichtigt werden, soweit dies im Vergaberecht zulässig ist. Die Leistungs- verzeichnisse sehen den anteiligen Einsatz von biologischen, saisonalen und
fair produzierten Lebensmitteln vor.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bildung und Ernährung;Bildungsarbeit Klimaschutz;Bildungsarbeit Klimaschutz;"Ziel: Münsteraner*innen aller Alters- und Lebensphasen zu klimaschonenden Lebensstilen ermutigen und so die Verankerung in der Stadtgesellschaft voran- treiben. Beispiele klimaschonenden Verhaltens sollen zielgruppengerecht auf- bereitet, Verhaltensänderungen angestoßen werden, um verhaltensbezogene CO2-Reduktionspotenziale zu nutzen. Die Angebote der vhs sowie der Stadt- bücherei in den Bereichen Umweltbildung, Klimaschutz, Nachhaltigkeit stoßen
bereits auf großes Interesse und sollen verstetigt/ausgebaut werden.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bildung und Ernährung;Biostadt    Münster    und    Ökomodellregion Münsterland;Biostadt  Münster    und    Ökomodellregion Münsterland;"Vom Rat der Stadt Münster wurden mit Bezug auf das Jahr 2030 folgende Ziele beschlossen:
- Regionale Wertschöpfungsprozesse aktiv zu unterstützen,
- Verpflegung in städtischen Kantinen, Schulen und Kitas zunehmend bio, fair, regional, vegetarisch und vegan ausrichten, Lebensmittelbedarf (sofern verfüg- bar)  zu 100 % aus umweltschonenden, saisonal produzierten  Lebensmitteln der Region decken und
- die Anteile der ökologischen Landwirtschaft auf mindestens 5 % bis 2030 und ebenfalls  die  Anteile  einer  nachhaltigeren  konventionellen  Landwirtschaft  zu steigern.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bildung und Ernährung;„TrinkWasser“-Kampagne;„TrinkWasser“-Kampagne;"Ziele:
-     Bereitstellung von Trinkwasser im öffentlichen Raum
-     Klimaschutz (CO2-Reduktion)/Hitzevorsorge/Gesundheitsförderung
-     Bildung und Information
Teilprojekte:
-     Bau von Trinkbrunnen, damit Trinkwasser an öffentlichen Orten bereitge- stellt wird. Hierbei soll, soweit möglich, an die bestehende Infrastruktur (z. B. öffentliche WC-Anlagen, historische Brunnen) angedockt werden.
-     Anwerben weiterer Refill-Standorte (https://refill-deutschland.de/muens- ter/) im gesamten Stadtgebiet, insbesondere in den äußeren Stadtteilen, und Steigerung des Bekanntheitsgrades durch öffentlichkeitswirksame Maßnahmen.
Informationskampagne „TrinkWasser“ zu den Vorteilen von Leitungswasser (zu Hause frisch  aus dem  Hahn  und  jederzeit  verfügbar, ständige Qualitätskon- trolle, gesund,  weil keine  Kalorien und viele Mineralstoffe, preiswert, ca. ein
Cent für zwei Liter, besonders nachhaltig, weil abfallfrei und kein CO2 für Trans- port und Verpackung)";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Masterplan Handwerk;Masterplan Handwerk;Das Handwerk hat eine große Bedeutung für die Bewältigung der anstehenden Zukunftsaufgaben. Das betrifft vor allem auch die Klimaund Energiewende. Das Handwerk kann seine Schlüsselfunktion nur bei entsprechend gestalteten Rahmenbedingungen übernehmen. Daher arbeiten Stadt Münster, Handwerkskammer und Kreishandwerkerschaft an einem gemeinsamen Masterplan, um das Handwerk konkret zu unterstützen und damit optimale Bedingungen für ein starkes Klimahandwerk zu schaffen.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Ökoprofit;Ökoprofit;"138 Unternehmen/Institutionen aus Münster profitieren bereits von Einsparun-
gen,  die  sie  durch  ihre  Teilnahme  am  Beratungsprojekt  Ökoprofit®  (Amt für Grünflächen, Umwelt und Nachhaltigkeit) erzielen konnten: Ein Jahr lang stel- len Unternehmen und Nachhaltigkeitsberater*innen alle Abläufe eines Betrie- bes auf den Prüfstand: In Workshops und bei Vor-Ort-Beratungen werden kon- krete     Maßnahmen     entwickelt     und     umgesetzt,     Auszeichnung     aller Teilnehmenden als „Ökoprofit-Unternehmen“.
Bei den bisher 13 Durchgängen des Projektes konnten insgesamt 20.108 Ton-
nen CO2  eingespart werden.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Wasserstoff;Wasserstoff;"- Wasserstoff-Koordinator  bei der  Technologieförderung  Münster GmbH seit April 2023: Wasserstoffstrategie für den Wirtschaftsstandort Münster
-  H2inBatCellProd  (Technologieförderung,  Fraunhofer  FFB,  Westfalen  AG, Stadtwerke, Stadtnetze): Einsatz von Grünem Wasserstoff als Energieträger für Trocknungsstrecken und Trockenräume in der Batteriezellproduktion";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Allianz für Klimaschutz;Allianz für Klimaschutz;"Zusammenschluss von rund 100 Münsteraner Unternehmen, die sich den städ- tischen Klimaschutzzielen verschrieben haben und hierfür jedes Jahr eine CO2- Grobbilanz und eine Klimaschutzmaßnahme erarbeiten. Im Gegenzug erhalten sie dafür von der Stadt eine Begleitung und Unterstützung: vier- bis fünfjährli- che Netzwerktreffen, vier Newsletter pro Jahr, verschiedene Beratungsange-
bote (5 bis 10 Beratungen pro Jahr), Öffentlichkeitsarbeit. Für die Unternehmen ist die Mitgliedschaft kostenfrei.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Standortentwicklungsstrategie 2030+;Standortentwicklungsstrategie 2030+;"Verankerung des Ziels der Klimaneutralität als strategische Leitlinie in der Stan- dortentwicklungsstrategie 2030+, z. B. klimaneutrale Gewerbegebiete, Ausbau der Infrastrukturen für klimaneutrales Wirtschaften z. B. H2-Netze und Grüne Energie,  Stärkung  und  Weiterentwicklung  Münsters  als  Batterieforschungs-,
Produktions-, Nutzungs- und Recyclingstandort, Entwicklung der GreenTech- Region Münsterland";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Wirtschaftsförderung:  Informationsveranstal- tungen, Workshops, Podcast;Wirtschaftsförderung;Informationsveranstaltungen, Workshops, Podcast der Wirtschaftsförderung zu Nachhaltigkeit und Klimaschutz;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Klimastadt-Vertrag;Klimastadt-Vertrag;"Im Klimastadt-Vertrag veröffentlichen Münsteraner*innen ihren Beitrag auf dem Weg zur Klimastadt, verpflichten sich dadurch und inspirieren und motivieren weitere  Unterstützer*innen.  Weil  es  uns  alle  braucht!  Beginnend  mit  dem Stadtforum im Juni 2023 können alle Münsteraner*innen – egal ob Unterneh-
men, Bürger*in, Verein oder andere Einrichtung – Maßnahmen benennen, die sie selbst umsetzten und so als Beitrag zur Klimastadt zum Klimastadt-Vertrag beisteuern wollen. Jeder Beitrag auf dem Weg zur Klimaneutralität zählt. In ei-
nem intensiven Dialog mit Wirtschaft und Hochschulen werden Beiträge zum Klimastadt-Vertrag erarbeitet.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Klimaneutrale Gewerbegebiete – im Bestand und in der Entwicklung;Klimaneutrale Gewerbegebiete;"1. Bestandsgewerbegebiete klimaneutral umgestalten: Besetzung einer neuen Stelle  bei  der Wirtschaftsförderung  zum  1.  Januar  2024,  2024  Analyse  und Umsetzung erster Maßnahmen 2.  Neue  Gewerbegebiete:  u.  a.  Gewerbegebiet  Gelmer  –  nördlich  Heit- mannsweg    (Bebauungsplanverfahren    mit    dem    Ziel    „klimapositiv“    mit Ratsbeschluss   22.03.2023   eingeleitet),   Modellquartier   Busso-Peus-Straße (zweiphasiger städtebaulicher Wettbewerb: Ratsbeschluss 10.05.2023 – klima- positive   Entwicklung,   Preisgericht   15.02.2024),   Modellquartier   Steinfurter Straße    (Werkstattverfahren    abgeschlossen,    Ratsbeschluss    10.05.2023,
Beschluss, Auslobung, Wettbewerb Mitte 2024: klimapositive Entwicklung) ...";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Kreislaufstadt;Kreislaufstadt;"Deutsches Institut für Urbanistik, Deutscher Städtetag, 22 Kommunen (Wirt- schaftsförderung): Im Städteverbund wird ein Modellansatz bestehend aus den Komponenten Leitbild und Ziele, Strategie, Prozesse, Strukturen, Instrumente
und Produkte für die Entwicklung von ganzheitlichen kommunalen Kreislauf- wirtschaftsstrategien erarbeitet.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Wirtschaft und Wissenschaft;Startberatung Energieeffizienz;Startberatung Energieeffizienz;"Klimaschutz-Beratungsangebot für kleine und mittlere Unternehmen mit dem Schwerpunkt Energieeinsparung  und nachhaltiger,  effizienter  Energieeinsatz auf Basis erneuerbarer Energien
Ziel: ganz konkrete Klimaschutzmaßnahmen in den Unternehmen auf den Weg
bringen. Niedrigschwelliges Angebot: keine Anträge, Formulare, Kosten für das Unternehmen.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Waste & circular economy;Münster Abfallfrei 2030 ;Münster Abfallfrei 2030 ;Mit der Vision 2030 streben die awm ein abfallfreies Münster 2030 an. Die Abfallwirtschaftsbetriebe Münster wollen Münster bis 2030 durch aktive Einbindung der Bürger*innen und in einem starken Netzwerk aus Kooperationspartnern zu einer Hauptstadt der Abfallvermeidung entwickeln – u. a. durch Projekte mit Bürgerbeteiligung, zielgruppenorientierte Bildungsarbeit, hochwertige Verwertung von Abfällen und Partnerschaften zur Erzeugung erneuerbarer Energien. Konsequente Abfallvermeidung durch die Stadtgesellschaft und eine innovative Verwertung der verbleibenden Abfälle leisten einen fundamentalen Beitrag zur Verringerung der Treibhausgasemissionen.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Waste & circular economy;Pyrolyse als potenzielle Ausweitung der Prozesse zur Verwertung von Biound/oder Grünabfällen;Pyrolyse zur Abfallverwertung;Neben den im DNK-Bericht dargelegten Maßnahmen und Projekten prüfen die awm weitere innovative Technologien und Methoden, um ihre Prozesse stetig zu optimieren und ihren Beitrag zur Bioökonomie und Kreislaufwirtschaft zu intensivieren. Ein Fokus liegt derzeit unter anderem auf der Pyrolyse als potenzielle Ausweitung der Prozesse zur Verwertung von Biound/oder Grünabfällen. Diese Negativemissionstechnologie (NET) könnte eingesetzt werden, um Pflanzenkohle aus biogenen Abfällen wie Gärresten und Siebüberläufen aus der Kompostierung zu gewinnen.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Landwirtschaft;Seit 2021 gibt es in der Stadtverwaltung Münster die Stelle eines Landwirtschaftlichen Beauftragten.;Landwirtschaftlichen Beauftragter;Die Aufgabe dieser Stelle besteht einerseits darin, die Verwaltungsleitung undderen Ämter in allen landwirtschaftlichen Sachfragen zu beraten und andererseits als Ansprechpartner für die Münsteraner Landwirte zu fungieren, um ei-nen guten Austausch zwischen Stadtverwaltung und Landwirten zu gewährleisten. Diese Aufgabe kommt auch in vielen klimaschutzrelevanten Projekten zumTragen.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
